411|419|181|168|
706|414|327|88|
104|74|220|84|
714|363|145|131|
873|11|76|135|
894|27|157|177|
117|440|308|54|
284|304|266|11|
76|315|167|193|
9|229|57|193|
380|303|160|70|
408|226|291|134|
440|289|100|249|
696|229|219|80|
368|177|89|243|
597|238|267|208|
968|278|297|11|
268|97|140|121|
534|310|112|99|
202|401|242|62|
15|154|71|188|
407|184|74|193|
694|280|103|105|
360|139|306|84|
625|214|237|170|
735|174|260|129|
736|43|119|102|
58|332|267|85|
632|436|193|47|
301|355|12|96|
566|52|265|134|
485|15|156|46|
412|486|237|6|
401|53|104|65|
420|151|19|229|
518|245|274|207|
177|396|222|17|
928|89|93|153|
530|335|166|162|
274|104|256|205|
31|484|227|74|
868|80|121|8|
50|436|209|91|
346|137|258|77|
458|375|129|20|
823|63|280|10|
590|495|321|55|
499|481|115|228|
721|91|64|64|
786|181|155|238|
662|296|120|236|
974|261|150|201|
764|343|241|75|
214|381|107|164|
846|105|150|196|
751|141|159|34|
927|288|156|187|
30|463|279|229|
261|431|129|210|
442|89|327|66|
122|202|122|26|
998|28|277|52|
213|264|42|103|
453|368|317|120|
953|462|125|186|
384|34|25|225|
794|424|315|159|
883|234|69|41|
12|420|79|154|
982|223|18|154|
809|268|203|173|
221|474|224|140|
0|63|70|42|
475|287|200|124|
471|204|155|112|
551|497|302|86|
531|406|328|118|
77|69|191|78|
911|89|271|207|
703|273|129|221|
405|127|125|138|
257|361|272|180|
705|44|93|147|
171|262|324|184|
75|303|267|143|
79|36|47|99|
599|170|190|92|
655|122|233|217|
798|69|50|3|
972|473|85|185|
74|233|266|195|
789|146|203|103|
92|167|47|4|
683|84|268|19|
264|408|43|135|
217|4|128|198|
422|71|176|182|
945|270|52|12|
84|396|221|87|
498|164|251|209|
603|143|264|118|
144|300|11|113|
889|11|75|63|
473|7|176|61|
891|497|90|195|
550|301|280|38|
788|401|276|46|
450|479|101|89|
191|498|175|67|
909|423|162|107|
905|49|89|75|
385|406|216|43|
812|489|41|34|
684|278|12|5|
855|145|332|127|
848|169|305|50|
116|331|257|2|
317|7|68|150|
267|483|230|163|
126|478|152|142|
333|67|253|195|
859|112|153|26|
29|454|226|37|
65|341|107|20|
219|186|310|175|
744|206|199|21|
294|281|5|154|
981|0|131|80|
320|9|111|124|
38|49|237|162|
153|11|331|163|
292|354|9|69|
311|382|184|128|
265|332|113|61|
546|283|153|226|
916|162|95|221|
681|436|293|108|
431|479|100|122|
688|90|300|146|
175|457|40|53|
351|393|138|0|
183|121|243|136|
847|467|1|36|
66|133|315|208|
707|315|134|141|
173|380|259|51|
901|399|177|21|
470|382|204|184|
932|73|121|211|
113|69|150|122|
163|220|52|204|
519|320|320|220|
67|245|324|175|
424|114|89|32|
547|120|104|183|
464|91|168|100|
155|311|231|81|
969|354|294|245|
828|486|218|1|
689|215|234|151|
211|303|231|166|
162|243|201|221|
762|273|162|228|
394|243|73|206|
388|416|170|30|
843|275|314|29|
961|396|106|178|
716|440|108|176|
168|381|306|133|
840|213|186|106|
121|123|171|165|
774|304|319|4|
569|474|226|247|
562|480|92|246|
477|137|166|26|
244|326|178|246|
81|364|153|3|
720|194|183|70|
709|51|251|211|
174|406|132|50|
2|4|168|77|
892|307|195|89|
423|0|205|87|
381|484|252|225|
815|146|49|69|
85|477|128|179|
829|49|170|22|
592|125|275|232|
673|219|121|87|
609|168|45|17|
986|85|54|94|
60|66|19|28|
502|87|170|139|
256|415|240|231|
954|102|287|147|
964|413|331|151|
674|353|327|1|
912|453|291|242|
588|388|218|40|
354|200|263|224|
976|476|13|162|
747|291|51|140|
776|320|208|95|
319|173|130|241|
594|122|166|44|
208|435|329|230|
400|461|238|15|
713|484|263|233|
295|399|289|8|
130|454|330|90|
336|467|172|140|
600|171|198|29|
486|469|127|23|
699|175|151|177|
849|79|46|222|
49|87|128|132|
347|32|319|232|
959|407|186|227|
364|108|55|110|
296|177|39|103|
652|149|58|129|
134|249|10|40|
679|119|120|65|
324|412|312|169|
582|251|42|232|
337|250|30|77|
226|471|220|8|
777|167|197|100|
227|414|136|86|
229|223|0|193|
230|105|314|172|
231|300|155|99|
560|152|127|4|
34|365|326|64|
132|266|307|83|
436|150|276|191|
203|279|87|38|
102|222|189|3|
14|103|306|157|
559|476|195|93|
962|254|245|66|
427|206|276|181|
379|33|267|197|
290|246|7|160|
874|32|69|79|
966|336|222|176|
841|283|1|111|
228|117|248|55|
865|33|215|232|
620|97|36|72|
393|213|320|20|
275|157|66|19|
933|258|292|79|
414|416|315|116|
758|39|85|234|
325|178|269|232|
672|73|61|157|
542|120|125|135|
779|311|175|150|
667|117|132|19|
285|279|126|245|
474|220|201|101|
103|208|331|224|
139|56|186|44|
86|395|298|31|
176|366|293|42|
887|284|206|186|
506|317|116|116|
463|205|326|6|
508|154|34|4|
496|144|160|148|
115|273|260|128|
535|439|170|40|
811|19|34|108|
991|443|91|31|
526|288|266|133|
356|115|273|120|
604|306|291|223|
303|406|52|226|
366|73|99|130|
444|378|259|173|
920|74|145|230|
863|48|272|112|
293|47|258|220|
918|425|296|20|
91|197|194|42|
315|255|8|54|
159|68|243|23|
476|163|202|214|
826|473|60|80|
