174|421|247|170|80|
481|418|147|92|103|
382|348|46|211|148|
865|474|314|243|178|
755|115|116|137|105|
652|80|32|230|12|
824|360|288|76|28|
154|388|291|96|198|
542|58|193|186|52|
808|450|230|16|151|
123|66|99|184|29|
996|56|276|215|40|
907|367|16|78|169|
336|26|97|128|92|
508|43|226|110|163|
618|94|126|166|108|
290|163|137|44|118|
679|199|261|74|197|
96|231|36|20|27|
633|229|197|139|164|
46|437|251|119|76|
663|16|290|174|99|
459|426|120|103|6|
748|395|231|91|194|
54|153|225|8|159|
776|118|82|72|71|
661|425|270|234|57|
257|473|84|79|3|
369|65|58|75|172|
759|225|285|114|17|
743|37|23|119|81|
147|453|40|234|27|
611|243|36|114|178|
804|176|193|188|43|
106|495|80|73|28|
581|320|6|32|198|
803|152|217|24|43|
252|461|147|25|36|
878|329|167|8|131|
683|403|258|4|170|
458|452|47|42|172|
322|371|289|49|197|
11|476|240|132|164|
272|109|39|197|103|
937|439|53|83|168|
812|316|326|115|185|
358|228|16|37|4|
840|486|122|234|199|
786|143|236|117|91|
850|419|93|226|109|
91|269|172|209|26|
909|84|307|172|72|
537|380|206|112|170|
961|463|213|246|177|
181|220|109|163|78|
966|207|130|248|171|
497|489|68|138|184|
130|134|126|48|147|
492|226|313|153|56|
158|489|228|113|64|
212|349|246|26|50|
835|128|213|152|111|
538|85|128|174|61|
38|11|89|115|32|
47|163|45|238|68|
26|152|43|93|141|
240|250|111|87|59|
209|418|128|76|183|
68|98|309|83|93|
922|213|166|144|23|
627|458|178|113|6|
873|345|128|159|4|
475|106|10|85|53|
149|111|6|199|36|
205|389|78|47|156|
335|467|309|158|14|
801|484|285|195|96|
992|197|269|207|126|
587|0|102|118|51|
352|375|269|74|132|
742|104|115|115|194|
39|372|123|190|61|
887|487|89|89|10|
448|417|139|89|193|
418|473|249|64|145|
177|58|100|121|30|
131|32|21|101|20|
935|81|144|176|155|
28|202|4|136|75|
74|251|97|112|187|
124|459|321|22|33|
218|82|308|188|134|
139|345|187|182|100|
425|65|68|148|0|
40|455|228|182|142|
69|264|70|60|138|
385|497|42|108|121|
15|286|206|28|143|
512|14|12|205|109|
612|75|80|119|118|
894|45|268|20|99|
89|320|5|236|105|
773|257|136|60|160|
292|400|300|204|31|
629|99|38|48|163|
442|327|138|64|90|
443|315|322|108|143|
617|406|101|16|161|
667|359|9|178|60|
853|55|323|239|96|
29|348|125|23|17|
337|430|63|168|104|
638|49|197|93|175|
113|472|169|51|95|
707|386|208|16|95|
590|407|202|38|179|
116|342|296|161|31|
493|73|88|216|107|
983|328|145|156|59|
984|149|21|63|182|
430|312|246|190|12|
779|286|10|199|156|
386|288|99|121|87|
665|335|311|162|123|
967|60|167|49|69|
136|427|204|243|135|
520|331|7|56|35|
429|44|293|22|157|
6|426|202|41|110|
603|323|261|186|87|
798|58|260|211|30|
914|275|73|138|64|
572|184|259|33|106|
857|22|9|1|175|
220|396|321|89|45|
811|42|288|102|88|
203|388|111|162|81|
544|193|93|86|18|
241|127|105|35|42|
356|265|89|111|84|
197|327|176|184|162|
371|92|69|106|81|
119|329|230|148|148|
912|337|36|161|30|
521|459|318|137|109|
303|334|161|107|33|
555|9|45|130|180|
734|131|116|81|27|
261|445|301|83|183|
384|314|27|117|126|
562|250|315|235|127|
107|19|187|169|26|
86|32|229|212|8|
250|426|307|94|96|
828|496|18|58|119|
815|73|106|82|10|
156|123|179|143|153|
239|424|51|65|177|
170|161|193|74|125|
159|343|238|29|164|
906|373|306|88|30|
196|434|53|14|79|
842|216|244|170|169|
987|171|190|133|114|
727|41|231|52|4|
416|414|174|169|68|
580|482|298|115|18|
340|265|274|103|82|
41|23|75|128|20|
536|427|257|70|0|
151|41|106|82|33|
783|405|152|104|28|
184|278|291|200|85|
194|300|98|66|168|
771|62|187|99|55|
526|133|160|155|188|
456|289|289|76|192|
225|443|206|69|21|
889|26|125|38|46|
199|468|135|11|107|
814|8|262|182|13|
375|95|24|127|171|
183|473|104|163|197|
621|355|240|96|105|
860|153|27|224|91|
185|223|109|26|20|
733|308|100|178|166|
389|263|322|120|151|
188|279|8|249|12|
768|118|126|69|137|
974|418|97|177|73|
137|494|291|206|164|
242|131|31|35|142|
207|283|305|99|20|
959|13|142|58|27|
825|87|332|74|38|
506|354|121|104|46|
989|25|275|63|189|
141|83|224|235|90|
964|151|128|176|99|
79|251|270|187|40|
405|297|160|44|143|
778|476|104|148|135|
813|185|216|3|59|
531|279|89|201|73|
756|345|199|140|150|
305|351|30|156|94|
226|486|98|235|67|
585|331|67|189|109|
750|33|177|67|104|
312|325|267|146|33|
728|455|107|63|121|
927|361|86|165|44|
48|21|44|24|45|
738|146|145|39|152|
215|145|200|42|7|
132|132|83|82|56|
787|265|37|86|164|
266|103|31|106|85|
12|123|89|150|190|
594|190|306|170|50|
260|18|35|207|11|
251|80|154|26|108|
190|103|90|8|9|
224|143|131|123|194|
955|394|279|72|42|
350|396|31|183|32|
164|154|131|87|162|
256|424|242|95|148|
551|135|31|3|189|
816|267|262|186|57|
596|498|57|149|5|
911|450|11|51|23|
406|113|314|63|37|
883|281|143|97|137|
307|421|69|110|71|
419|114|61|20|82|
361|309|180|192|185|
942|496|216|50|101|
438|240|115|108|18|
330|482|228|44|192|
867|107|98|82|62|
304|56|167|220|1|
896|420|271|83|8|
171|289|327|86|162|
826|304|113|246|168|
422|127|56|205|132|
60|241|14|179|161|
485|487|125|84|139|
414|149|173|123|124|
763|98|242|156|11|
723|433|138|45|52|
71|321|29|39|23|
435|219|31|68|100|
990|297|26|242|9|
607|367|131|23|38|
327|201|212|137|12|
78|92|57|106|125|
453|427|23|119|148|
694|313|11|215|97|
364|199|44|63|195|
690|312|312|90|169|
608|175|259|191|163|
377|81|22|68|132|
791|124|263|9|168|
872|13|28|190|76|
445|127|176|29|195|
879|218|328|18|131|
168|250|311|51|28|
789|101|231|202|189|
245|490|221|141|185|
135|212|157|66|91|
870|89|21|190|20|
273|137|52|78|147|
991|269|167|106|162|
263|97|0|193|20|
994|104|331|110|154|
613|120|280|37|49|
693|265|213|86|134|
179|460|27|16|115|
480|437|204|83|145|
365|410|9|66|136|
161|273|271|87|187|
213|202|131|125|147|
917|236|121|80|55|
640|303|135|0|103|
571|156|89|205|125|
928|158|170|113|128|
830|62|100|113|19|
736|408|287|15|145|
716|339|323|196|163|
975|295|136|81|191|
688|155|290|79|53|
62|340|268|66|180|
886|165|199|211|61|
745|487|14|172|29|
741|477|57|63|53|
180|160|245|14|17|
972|327|21|244|129|
699|92|157|150|43|
604|288|94|181|11|
387|129|189|183|85|
692|291|49|68|53|
915|152|246|26|139|
822|4|291|224|190|
321|12|123|74|3|
302|4|284|138|175|
470|293|293|56|74|
