0|63|459|
100|292|401|
101|5|6|
102|222|413|
103|208|493|
104|74|197|
105|202|110|
106|246|495|
107|58|19|
108|87|371|
109|343|263|
10|91|125|
110|309|206|
111|221|324|
112|442|152|
113|69|472|
114|392|411|
115|273|350|
116|331|342|
117|440|178|
118|236|173|
119|247|329|
11|361|476|
120|481|130|
121|123|268|
122|202|224|
123|306|66|
124|13|459|
125|234|465|
126|478|43|
127|362|126|
128|306|463|
129|62|455|
12|420|123|
130|454|134|
131|91|32|
132|266|132|
133|277|366|
134|249|290|
135|344|212|
136|470|427|
137|7|494|
138|67|115|
139|56|345|
13|236|479|
140|234|214|
141|391|83|
142|198|324|
143|142|148|
144|300|31|
145|38|314|
146|97|416|
147|45|453|
148|161|30|
149|307|111|
14|103|68|
150|26|383|
151|105|41|
152|341|260|
153|11|402|
154|183|388|
155|311|201|
156|80|123|
157|448|490|
158|206|489|
159|68|343|
15|154|286|
160|239|252|
161|3|273|
162|243|348|
163|220|127|
164|57|154|
165|297|15|
166|327|428|
167|107|31|
168|381|250|
169|74|467|
16|206|51|
170|237|161|
171|262|289|
172|409|3|
173|380|107|
174|406|421|
175|457|167|
176|366|269|
177|396|58|
178|31|154|
179|133|460|
17|136|366|
180|270|160|
181|135|220|
182|474|329|
183|121|473|
184|224|278|
185|143|223|
186|93|133|
187|162|421|
188|490|279|
189|376|44|
18|234|155|
190|92|103|
191|498|263|
192|303|404|
193|354|207|
194|393|300|
195|157|309|
196|118|434|
197|125|327|
198|439|276|
199|209|468|
19|499|303|
1|248|415|
200|498|170|
201|252|324|
202|401|220|
203|279|388|
204|294|383|
205|492|389|
206|470|360|
207|342|283|
208|435|246|
209|268|418|
20|2|27|
210|15|215|
211|303|148|
212|293|349|
213|264|202|
214|381|56|
215|35|145|
216|63|423|
217|4|151|
218|401|82|
219|186|29|
21|290|388|
220|302|396|
221|474|406|
222|196|320|
223|329|230|
224|307|143|
225|26|443|
226|471|486|
227|414|61|
228|117|45|
229|223|64|
22|172|114|
230|105|481|
231|300|148|
232|367|354|
233|296|342|
234|430|226|
235|203|321|
236|241|266|
237|144|23|
238|128|212|
239|212|424|
23|298|70|
240|98|250|
241|429|127|
242|60|131|
243|30|324|
244|326|198|
245|470|490|
246|229|276|
247|174|145|
248|289|227|
249|250|409|
24|150|336|
250|263|426|
251|95|80|
252|402|461|
253|183|144|
254|401|247|
255|410|385|
256|415|424|
257|361|473|
258|249|67|
259|255|332|
25|381|327|
260|482|18|
261|431|445|
262|412|422|
263|475|97|
264|408|221|
265|332|334|
266|110|103|
267|483|437|
268|97|179|
269|18|225|
26|134|152|
270|189|416|
271|363|329|
272|438|109|
273|235|137|
274|104|410|
275|157|152|
276|151|178|
277|33|62|
278|463|66|
279|240|282|
27|361|237|
280|59|344|
281|401|241|
282|174|450|
283|199|142|
284|304|229|
285|279|44|
286|298|222|
287|328|261|
288|161|216|
289|255|448|
28|147|202|
290|246|163|
291|178|119|
292|354|400|
293|47|26|
294|281|384|
295|399|169|
296|177|122|
297|18|269|
298|345|231|
299|219|197|
29|454|348|
2|4|109|
300|322|26|
301|355|110|
302|188|4|
303|406|334|
304|252|56|
305|141|351|
306|189|228|
307|163|421|
308|341|256|
309|335|21|
30|463|135|
310|198|479|
311|382|98|
312|178|325|
313|393|59|
314|260|142|
315|255|317|
316|97|309|
317|7|489|
318|15|242|
319|173|67|
31|484|5|
320|9|480|
321|334|12|
322|448|371|
323|309|329|
324|412|120|
