0|939|288.00|3|
100|853|360.00|3|
101|676|272.33|3|
103|694|217.67|3|
104|907|185.17|6|
105|984|276.80|5|
106|961|163.00|4|
107|624|299.80|5|
108|860|359.00|3|
109|816|458.50|2|
10|134|249.00|1|
110|640|294.50|2|
111|940|332.17|6|
112|842|312.00|3|
113|778|331.33|3|
115|524|303.00|3|
116|589|208.67|3|
117|196|117.75|4|
118|870|279.20|5|
119|799|98.50|4|
11|448|372.00|2|
120|975|262.89|9|
121|932|158.83|6|
122|661|345.67|3|
123|973|217.50|6|
124|729|209.00|3|
125|953|162.00|5|
126|521|388.00|2|
127|611|282.00|5|
128|980|197.89|9|
129|703|359.67|3|
12|999|299.00|5|
130|545|133.67|3|
131|981|170.00|2|
132|854|262.80|5|
133|852|376.33|3|
134|821|235.50|2|
135|732|312.50|2|
136|900|260.20|5|
137|490|201.00|1|
138|351|216.50|2|
139|797|286.33|3|
13|976|272.67|3|
140|934|147.20|5|
141|938|449.00|1|
142|644|380.50|2|
143|925|207.33|3|
144|511|423.00|1|
145|920|196.67|3|
146|391|89.50|2|
147|647|348.50|2|
149|650|273.00|1|
14|472|74.00|1|
150|974|195.00|5|
151|699|282.50|2|
152|630|256.00|3|
153|859|281.00|5|
154|861|334.25|4|
155|786|192.60|5|
156|927|185.00|5|
157|894|234.50|2|
158|820|268.33|3|
159|751|149.75|4|
15|504|210.67|3|
160|565|232.25|4|
161|790|148.00|1|
162|909|331.50|4|
163|904|129.00|2|
164|817|157.00|1|
165|877|306.67|3|
166|725|298.00|5|
167|101|160.00|2|
168|957|101.67|3|
169|756|354.33|3|
16|760|113.25|4|
170|829|275.67|6|
171|515|189.25|4|
172|880|265.75|4|
174|680|384.00|1|
175|779|404.50|2|
176|931|89.25|4|
177|915|413.67|3|
178|978|258.00|2|
179|836|152.50|2|
17|803|297.67|3|
181|857|279.50|2|
182|583|160.67|3|
183|720|257.25|4|
184|311|431.50|2|
185|787|216.00|4|
186|959|195.40|5|
187|726|182.00|3|
188|807|113.00|2|
189|881|95.33|3|
18|982|285.80|5|
190|755|176.25|4|
191|77|69.00|1|
192|914|337.00|6|
193|796|288.33|3|
194|772|153.20|5|
195|892|282.50|4|
196|813|382.00|1|
197|777|205.50|2|
198|600|230.50|2|
199|946|311.67|3|
