0|0|
100|100|
101|101|
103|103|
104|104|
106|106|
108|108|
110|110|
111|111|
113|113|
115|115|
118|118|
119|119|
120|120|
122|122|
123|123|
124|124|
126|126|
127|127|
129|129|
12|12|
130|130|
131|131|
132|132|
134|134|
135|135|
136|136|
137|137|
138|138|
140|140|
141|141|
142|142|
143|143|
145|145|
147|147|
14|14|
150|150|
151|151|
153|153|
154|154|
155|155|
157|157|
158|158|
159|159|
160|160|
161|161|
162|162|
166|166|
167|167|
169|169|
172|172|
174|174|
178|178|
17|17|
180|180|
181|181|
183|183|
184|184|
185|185|
186|186|
187|187|
188|188|
18|18|
193|193|
195|195|
196|196|
19|19|
201|201|
202|202|
203|203|
204|204|
206|206|
20|20|
212|212|
215|215|
216|216|
221|221|
222|222|
224|224|
225|225|
226|226|
227|227|
228|228|
229|229|
22|22|
230|230|
231|231|
232|232|
233|233|
234|234|
238|238|
239|239|
23|23|
240|240|
243|243|
244|244|
245|245|
246|246|
247|247|
249|249|
26|26|
27|27|
28|28|
29|29|
2|2|
30|30|
31|31|
32|32|
33|33|
34|34|
35|35|
36|36|
38|38|
39|39|
3|3|
40|40|
41|41|
42|42|
43|43|
45|45|
46|46|
48|48|
4|4|
50|50|
51|51|
53|53|
54|54|
58|58|
59|59|
5|5|
60|60|
61|61|
63|63|
64|64|
66|66|
67|67|
69|69|
6|6|
71|71|
72|72|
73|73|
74|74|
75|75|
77|77|
78|78|
79|79|
80|80|
84|84|
86|86|
89|89|
8|8|
90|90|
93|93|
94|94|
95|95|
96|96|
97|97|
99|99|
9|9|
